week,store,item,unit,price
2026-02-16,Sam's Club Warren,Rotisserie chicken,each,4.98
2026-02-16,Sam's Club Warren,Ground beef 80/20,lb,4.48
2026-02-16,Sam's Club Warren,Chicken breast,lb,2.98
2026-02-16,Sam's Club Warren,Pork shoulder/butt,lb,1.98
2026-02-16,Sam's Club Warren,Ribeye steak,lb,12.98

2026-02-16,Walmart Cortland,Rotisserie chicken,each,6.97
2026-02-16,Walmart Cortland,Ground beef 80/20,lb,4.97
2026-02-16,Walmart Cortland,Chicken breast,lb,3.47
2026-02-16,Walmart Cortland,Pork shoulder/butt,lb,2.18
2026-02-16,Walmart Cortland,Ribeye steak,lb,13.97

2026-02-16,Meijer Warren,Rotisserie chicken,each,0
2026-02-16,Meijer Warren,Ground beef 80/20,lb,0
2026-02-16,Meijer Warren,Chicken breast,lb,0
2026-02-16,Meijer Warren,Pork shoulder/butt,lb,0
2026-02-16,Meijer Warren,Ribeye steak,lb,0

2026-02-16,ALDI Warren,Rotisserie chicken,each,0
2026-02-16,ALDI Warren,Ground beef 80/20,lb,0
2026-02-16,ALDI Warren,Chicken breast,lb,0
2026-02-16,ALDI Warren,Pork shoulder/butt,lb,0
2026-02-16,ALDI Warren,Ribeye steak,lb,0

2026-02-16,Giant Eagle Elm Rd,Rotisserie chicken,each,0
2026-02-16,Giant Eagle Elm Rd,Ground beef 80/20,lb,0
2026-02-16,Giant Eagle Elm Rd,Chicken breast,lb,0
2026-02-16,Giant Eagle Elm Rd,Pork shoulder/butt,lb,0
2026-02-16,Giant Eagle Elm Rd,Ribeye steak,lb,0
